accession,pairs,gene,protein,seq_len,class,is_ion_channel
P34971,3,Adrb1,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),466,gpcr,False
Q62758,3,Htr4,5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4),406,gpcr,False
Q62666,3,Slc18a3,Vesicular acetylcholine transporter (VAChT) (rVAT) (Solute carrier family 18 member 3),530,other,False
P38919,3,EIF4A3,"Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]",411,other,False
Q9AIU7,3,ligA,DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)]),667,other,False
P28335,3,HTR2C,5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C),458,gpcr,False
Q09428,3,ABCC8,ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1),1581,other,False
Q8IZX4,3,TAF1L,Transcription initiation factor TFIID subunit 1-like (TAF(II)210) (TBP-associated factor 1-like) (TBP-associated factor 210 kDa) (Transcription initiation factor TFIID 210 kDa subunit),1826,other,False
P06730,3,EIF4E,Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein),217,other,False
Q9NZQ7,2,CD274,Programmed cell death 1 ligand 1 (PD-L1) (PDCD1 ligand 1) (Programmed death ligand 1) (hPD-L1) (B7 homolog 1) (B7-H1) (CD antigen CD274),290,other,False
P49764,2,Pgf,Placenta growth factor (PlGF),158,other,False
P13500,2,CCL2,C-C motif chemokine 2 (HC11) (Monocyte chemoattractant protein 1) (Monocyte chemotactic and activating factor) (MCAF) (Monocyte chemotactic protein 1) (MCP-1) (Monocyte secretory protein JE) (Small-inducible cytokine A2),99,other,False
P13864,2,Dnmt1,DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (Met-1) (EC 2.1.1.37) (DNA methyltransferase MmuI) (DNA MTase MmuI) (M.MmuI) (MCMT),1620,other,False
Q9NRG4,2,SMYD2,N-lysine methyltransferase SMYD2 (EC 2.1.1.-) (HSKM-B) (Histone methyltransferase SMYD2) (EC 2.1.1.354) (Lysine N-methyltransferase 3C) (SET and MYND domain-containing protein 2),433,other,False
P79400,2,HTR1D,5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin receptor 1D),291,gpcr,False
P01116,2,KRAS,"GTPase KRas (EC 3.6.5.2) (K-Ras 2) (Ki-Ras) (c-K-ras) (c-Ki-ras) [Cleaved into: GTPase KRas, N-terminally processed]",189,other,False
P00800,2,npr,Thermolysin (EC 3.4.24.27) (Thermostable neutral proteinase),548,protease,False
Q9NXA8,2,SIRT5,"NAD-dependent protein deacylase sirtuin-5, mitochondrial (EC 2.3.1.-) (Regulatory protein SIR2 homolog 5) (SIR2-like protein 5)",310,other,False
P32307,2,AVPR2,Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor),370,gpcr,False
P0A6G7,2,clpP,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Caseinolytic protease) (Endopeptidase Clp) (Heat shock protein F21.5) (Protease Ti),207,protease,False
P41146,2,OPRL1,Nociceptin receptor (Kappa-type 3 opioid receptor) (KOR-3) (Orphanin FQ receptor),370,gpcr,False
P41597,2,CCR2,C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD antigen CD192),374,gpcr,False
P05129,2,PRKCG,Protein kinase C gamma type (PKC-gamma) (EC 2.7.11.13),697,kinase,False
P05364,2,ampC,Beta-lactamase (EC 3.5.2.6) (Cephalosporinase),381,other,False
Q99062,2,CSF3R,Granulocyte colony-stimulating factor receptor (G-CSF receptor) (G-CSF-R) (CD antigen CD114),836,other,False
P07339,2,CTSD,Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain],412,protease,False
Q96LA8,2,PRMT6,Protein arginine N-methyltransferase 6 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 6) (Histone-arginine N-methyltransferase PRMT6),375,other,False
P04406,2,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),335,other,False
Q9H0E9,2,BRD8,Bromodomain-containing protein 8 (Skeletal muscle abundant protein) (Skeletal muscle abundant protein 2) (Thyroid hormone receptor coactivating protein of 120 kDa) (TrCP120) (p120),1235,other,False
Q96EB6,2,SIRT1,NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)],747,other,False
Q969R2,2,OSBP2,Oxysterol-binding protein 2 (ORP2) (Oxysterol-binding protein-related protein 4) (ORP-4) (OSBP-related protein 4),916,other,False
P04054,2,PLA2G1B,Phospholipase A2 (EC 3.1.1.4) (Group IB phospholipase A2) (Phosphatidylcholine 2-acylhydrolase 1B),148,other,False
Q92934,2,BAD,Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death),168,other,False
P08909,2,Htr2c,5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C),460,gpcr,False
Q9H3N8,2,HRH4,Histamine H4 receptor (H4R) (HH4R) (AXOR35) (G-protein coupled receptor 105) (GPRv53) (Pfi-013) (SP9144),390,gpcr,False
P03118,2,E2,Regulatory protein E2,401,other,False
Q13133,2,NR1H3,Oxysterols receptor LXR-alpha (Liver X receptor alpha) (Nuclear receptor subfamily 1 group H member 3),447,nuclear_receptor,False
P0A031,2,ftsZ,Cell division protein FtsZ,390,other,False
P02769,2,ALB,Albumin (BSA) (allergen Bos d 6),607,other,False
P02754,2,LGB,Beta-lactoglobulin (Beta-LG) (allergen Bos d 5),178,other,False
Q8RN04,2,cyp165B3,Cytochrome P450 165B3 (EC 1.14.-.-) (Vancomycin biosynthesis protein OxyB),398,other,False
Q01469,2,FABP5,"Fatty acid-binding protein 5 (Epidermal-type fatty acid-binding protein) (E-FABP) (Fatty acid-binding protein, epidermal) (Psoriasis-associated fatty acid-binding protein homolog) (PA-FABP)",135,other,False
"P0DP25,P0DP24,P0DP23",2,,,149,other,False
P01579,2,IFNG,Interferon gamma (IFN-gamma) (Immune interferon),166,other,False
P41968,2,MC3R,Melanocortin receptor 3 (MC3-R),323,gpcr,False
P16442,2,ABO,Histo-blood group ABO system transferase (Fucosylglycoprotein 3-alpha-galactosyltransferase) (Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase) (Glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase) (EC 2.4.1.40) (Glycoprotein-fucosylgalactoside alpha-galactosyltransferase) (EC 2.4.1.37) (Histo-blood group A transferase) (A transferase) (GTA) (Histo-blood group B transferase) (B transferase) (GTB) (NAGAT) [Cleaved into: Fucosylglycoprotein alpha-N-acetylgalactosaminyltransferase soluble form],354,other,False
P47748,2,OPRL1,Nociceptin receptor (Kappa-type 3 opioid receptor) (KOR-3) (Orphanin FQ receptor) (XOR),370,gpcr,False
Q15382,2,RHEB,GTP-binding protein Rheb (EC 3.6.5.-) (Ras homolog enriched in brain),184,other,False
Q9ULI0,2,ATAD2B,ATPase family AAA domain-containing protein 2B,1458,other,False
P55212,2,CASP6,Caspase-6 (CASP-6) (CSP-6) (EC 3.4.22.59) (Apoptotic protease Mch-2) [Cleaved into: Caspase-6 subunit p18 (Caspase-6 subunit p20); Caspase-6 subunit p11 (Caspase-6 subunit p10)],293,protease,False
P19921,2,coxS,Carbon monoxide dehydrogenase small chain (CO dehydrogenase subunit S) (CO-DH S) (EC 1.2.5.3),166,other,False
Q15910,2,EZH2,Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356) (ENX-1) (Enhancer of zeste homolog 2) (Lysine N-methyltransferase 6),746,other,False
P29473,2,NOS3,"Nitric oxide synthase 3 (EC 1.14.13.39) (Constitutive NOS) (cNOS) (EC-NOS) (NOS type III) (NOSIII) (Nitric oxide synthase, endothelial) (Endothelial NOS) (eNOS)",1205,other,False
P77173,2,zipA,Cell division protein ZipA (FtsZ interacting protein A),328,other,False
P62834,2,RAP1A,Ras-related protein Rap-1A (EC 3.6.5.2) (C21KG) (G-22K) (GTP-binding protein smg p21A) (Ras-related protein Krev-1),184,other,False
P35370,2,Oprl1,Nociceptin receptor (Kappa-type 3 opioid receptor) (KOR-3) (Orphanin FQ receptor) (ROR-C) (XOR1),367,gpcr,False
P56068,2,murI,Glutamate racemase (EC 5.1.1.3),255,other,False
Q9UIG0,2,BAZ1B,Tyrosine-protein kinase BAZ1B (EC 2.7.10.2) (Bromodomain adjacent to zinc finger domain protein 1B) (Williams syndrome transcription factor) (Williams-Beuren syndrome chromosomal region 10 protein) (Williams-Beuren syndrome chromosomal region 9 protein) (hWALp2),1483,kinase,False
P33527,2,ABCC1,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),1531,other,False
P22460,2,KCNA5,Potassium voltage-gated channel subfamily A member 5 (HPCN1) (Voltage-gated potassium channel HK2) (Voltage-gated potassium channel subunit Kv1.5),613,ion_channel,True
Q16548,2,BCL2A1,Bcl-2-related protein A1 (Bcl-2-like protein 5) (Bcl2-L-5) (Hemopoietic-specific early response protein) (Protein BFL-1) (Protein GRS),175,other,False
P37136,2,Ache,Acetylcholinesterase (AChE) (EC 3.1.1.7),614,other,False
Q13639,2,HTR4,5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4),388,gpcr,False
O60671,2,RAD1,Cell cycle checkpoint protein RAD1 (hRAD1) (Rad1-like DNA damage checkpoint protein),282,other,False
P34972,2,CNR2,Cannabinoid receptor 2 (CB-2) (CB2) (hCB2) (CX5),360,gpcr,False
P00176,2,Cyp2b1,Cytochrome P450 2B1 (EC 1.14.14.1) (CYPIIB1) (Cytochrome P450-B) (Cytochrome P450b) (Cytochrome P450-LM2) (Cytochrome P450-PB1) (Cytochrome P450-PB2),491,other,False
Q64077,2,TACR2,Substance-K receptor (SKR) (NK-2 receptor) (NK-2R) (Neurokinin A receptor) (Tachykinin receptor 2),402,gpcr,False
Q58F21,2,BRDT,Bromodomain testis-specific protein (Cancer/testis antigen 9) (CT9) (RING3-like protein),947,other,False
Q9Y286,2,SIGLEC7,Sialic acid-binding Ig-like lectin 7 (Siglec-7) (Adhesion inhibitory receptor molecule 1) (AIRM-1) (CDw328) (D-siglec) (QA79 membrane protein) (p75) (CD antigen CD328),467,other,False
Q08752,2,PPID,Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (40 kDa peptidyl-prolyl cis-trans isomerase) (Cyclophilin-40) (CYP-40) (Cyclophilin-related protein) (Rotamase D),370,other,False
P32245,2,MC4R,Melanocortin receptor 4 (MC4-R),332,gpcr,False
Q13093,2,PLA2G7,Platelet-activating factor acetylhydrolase (PAF acetylhydrolase) (EC 3.1.1.47) (1-alkyl-2-acetylglycerophosphocholine esterase) (2-acetyl-1-alkylglycerophosphocholine esterase) (Group-VIIA phospholipase A2) (gVIIA-PLA2) (LDL-associated phospholipase A2) (LDL-PLA(2)) (PAF 2-acylhydrolase),441,other,False
P00488,2,F13A1,Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain),732,other,False
P55263,2,ADK,"Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase) (N6,N6-dimethyladenosine kinase) (EC 2.7.1.-) (N6-isopentenyladenosine kinase) (EC 2.7.1.-) (N6-methyladenosine kinase) (EC 2.7.1.-)",362,kinase,False
P62959,2,Hint1,Adenosine 5'-monophosphoramidase HINT1 (EC 3.9.1.-) (17 kDa inhibitor of protein kinase C) (Desumoylating isopeptidase HINT1) (EC 3.4.22.-) (Histidine triad nucleotide-binding protein 1) (Protein kinase C inhibitor 1) (Protein kinase C-interacting protein 1) (PKCI-1),126,kinase,False
Q64663,2,P2rx7,P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor),595,ion_channel,True
P40261,2,NNMT,Nicotinamide N-methyltransferase (EC 2.1.1.1),264,other,False
P04058,1,ache,Acetylcholinesterase (AChE) (EC 3.1.1.7),586,other,False
O35433,1,Trpv1,Transient receptor potential cation channel subfamily V member 1 (TrpV1) (Capsaicin receptor) (Osm-9-like TRP channel 1) (OTRPC1) (Vanilloid receptor 1) (Vanilloid receptor type 1-like),838,ion_channel,True
O35820,1,Dnph1,5-hydroxymethyl-dUMP N-hydrolase (EC 3.2.2.-) (2'-deoxynucleoside 5'-phosphate N-hydrolase 1) (Deoxyribonucleoside 5'-monophosphate N-glycosidase) (c-Myc-responsive protein Rcl),163,other,False
Q9H244,1,P2RY12,P2Y purinoceptor 12 (P2Y12) (ADP-glucose receptor) (ADPG-R) (P2T(AC)) (P2Y(AC)) (P2Y(cyc)) (P2Y12 platelet ADP receptor) (P2Y(ADP)) (SP1999),342,gpcr,False
Q9Y259,1,CHKB,Choline/ethanolamine kinase (Choline kinase beta) (CK) (CKB) (EC 2.7.1.32) (Choline kinase-like protein) (Ethanolamine kinase) (EK) (EC 2.7.1.82) (Ethanolamine kinase beta) (EKB) (choline/ethanolamine kinase beta) (CKEKB),395,kinase,False
O15550,1,KDM6A,Lysine-specific demethylase 6A (EC 1.14.11.68) (Histone demethylase UTX) (Ubiquitously-transcribed TPR protein on the X chromosome) (Ubiquitously-transcribed X chromosome tetratricopeptide repeat protein) ([histone H3]-trimethyl-L-lysine(27) demethylase 6A),1401,other,False
Q9H2S1,1,KCNN2,Small conductance calcium-activated potassium channel protein 2 (SK2) (SKCa 2) (SKCa2) (KCa2.2),579,ion_channel,True
P04015,1,E2,Regulatory protein E2,367,other,False
O15054,1,KDM6B,Lysine-specific demethylase 6B (EC 1.14.11.68) (JmjC domain-containing protein 3) (Jumonji domain-containing protein 3) (Lysine demethylase 6B) ([histone H3]-trimethyl-L-lysine(27) demethylase 6B),1643,other,False
P04326,1,tat,Protein Tat (Transactivating regulatory protein),86,other,False
O15379,1,HDAC3,Histone deacetylase 3 (HD3) (EC 3.5.1.98) (Protein deacetylase HDAC3) (EC 3.5.1.-) (Protein deacylase HDAC3) (EC 3.5.1.-) (RPD3-2) (SMAP45),428,other,False
P04818,1,TYMS,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45),313,other,False
Q9Z2X8,1,Keap1,Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2),624,other,False
Q9Z148,1,Ehmt2,Histone-lysine N-methyltransferase EHMT2 (EC 2.1.1.-) (EC 2.1.1.367) (Euchromatic histone-lysine N-methyltransferase 2) (HLA-B-associated transcript 8) (Histone H3-K9 methyltransferase 3) (H3-K9-HMTase 3) (Protein G9a),1263,other,False
O00222,1,GRM8,Metabotropic glutamate receptor 8 (mGluR8),908,gpcr,False
P56704,1,WNT3A,Protein Wnt-3a,352,other,False
P04775,1,Scn2a,Sodium channel protein type 2 subunit alpha (Sodium channel protein brain II subunit alpha) (Sodium channel protein type II subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.2),2005,ion_channel,True
P04774,1,Scn1a,Sodium channel protein type 1 subunit alpha (Sodium channel protein brain I subunit alpha) (Sodium channel protein type I subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.1),2009,ion_channel,True
Q9Y6F8,1,CDY1; CDY1B,Testis-specific chromodomain protein Y 1 (EC 2.3.1.48),540,other,False
P9WGR1,1,inhA,Enoyl-[acyl-carrier-protein] reductase [NADH] (ENR) (Enoyl-ACP reductase) (EC 1.3.1.9) (FAS-II enoyl-ACP reductase) (NADH-dependent 2-trans-enoyl-ACP reductase),269,other,False
O08562,1,Scn9a,Sodium channel protein type 9 subunit alpha (Peripheral sodium channel 1) (PN1) (Sodium channel protein type IX subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.7),1984,ion_channel,True
O08790,1,Fpr-s1,Formyl peptide receptor-related sequence 1 (FMLP-related receptor I) (FMLP-R-I) (Formyl peptide receptor related sequence 1) (Formyl peptide receptor-like 1) (Lipoxin A4 receptor) (LXA4 receptor) (N-formyl peptide receptor 2) (N-formyl peptide receptor 3),351,gpcr,False
P04585,1,gag-pol,Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)],1435,protease,False
Q9C0B1,1,FTO,Alpha-ketoglutarate-dependent dioxygenase FTO (Fat mass and obesity-associated protein) (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (EC 1.14.11.-) (U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO) (EC 1.14.11.-) (mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (m6A(m)-demethylase FTO) (EC 1.14.11.-) (mRNA N(6)-methyladenosine demethylase FTO) (EC 1.14.11.53) (tRNA N1-methyl adenine demethylase FTO) (EC 1.14.11.-),505,other,False
Q9FBI2,1,stxA,Shiga toxin subunit A (EC 3.2.2.22),315,other,False
O14842,1,FFAR1,Free fatty acid receptor 1 (G-protein coupled receptor 40),300,gpcr,False
P04578,1,env,Envelope glycoprotein gp160 (Env polyprotein) [Cleaved into: Surface protein gp120 (SU) (Glycoprotein 120) (gp120); Transmembrane protein gp41 (TM) (Glycoprotein 41) (gp41)],856,other,False
Q9Y2K7,1,KDM2A,Lysine-specific demethylase 2A (EC 1.14.11.27) (CXXC-type zinc finger protein 8) (F-box and leucine-rich repeat protein 11) (F-box protein FBL7) (F-box protein Lilina) (F-box/LRR-repeat protein 11) (JmjC domain-containing histone demethylation protein 1A) ([Histone-H3]-lysine-36 demethylase 1A),1162,other,False
P03300,1,,Genome polyprotein [Cleaved into: P1; Capsid protein VP0 (VP4-VP2); Capsid protein VP4 (P1A) (Virion protein 4); Capsid protein VP2 (P1B) (Virion protein 2); Capsid protein VP3 (P1C) (Virion protein 3); Capsid protein VP1 (P1D) (Virion protein 1); P2; Protease 2A (P2A) (EC 3.4.22.29) (Picornain 2A) (Protein 2A); Protein 2B (P2B); Protein 2C (P2C) (EC 3.6.1.15); P3; Protein 3AB; Protein 3A (P3A); Viral protein genome-linked (VPg) (Protein 3B) (P3B); Protein 3CD (EC 3.4.22.28); Protease 3C (EC 3.4.22.28) (Picornain 3C) (P3C); RNA-directed RNA polymerase (RdRp) (EC 2.7.7.48) (3D polymerase) (3Dpol) (Protein 3D) (3D)],2209,ion_channel,True
P51178,1,PLCD1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-1) (Phospholipase C-III) (PLC-III) (Phospholipase C-delta-1) (PLC-delta-1)",756,other,False
Q9Y232,1,CDYL,Chromodomain Y-like protein (CDY-like) (Crotonyl-CoA hydratase) (EC 4.2.1.-),598,other,False
Q9NUW8,1,TDP1,Tyrosyl-DNA phosphodiesterase 1 (Tyr-DNA phosphodiesterase 1) (EC 3.1.4.-),608,other,False
P51671,1,CCL11,Eotaxin (C-C motif chemokine 11) (Eosinophil chemotactic protein) (Small-inducible cytokine A11),97,other,False
P84077,1,ARF1,ADP-ribosylation factor 1 (EC 3.6.5.2),181,other,False
Q9NQR1,1,KMT5A,N-lysine methyltransferase KMT5A (EC 2.1.1.-) (H4-K20-HMTase KMT5A) (Histone-lysine N-methyltransferase KMT5A) (EC 2.1.1.361) (Lysine N-methyltransferase 5A) (Lysine-specific methylase 5A) (PR/SET domain-containing protein 07) (PR-Set7) (PR/SET07) (SET domain-containing protein 8),393,other,False
P01127,1,PDGFB,Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin),241,other,False
O95665,1,NTSR2,Neurotensin receptor type 2 (NT-R-2) (NTR2) (Levocabastine-sensitive neurotensin receptor),410,gpcr,False
P01112,1,HRAS,"GTPase HRas (EC 3.6.5.2) (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]",189,other,False
P01106,1,MYC,Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64),439,other,False
Q9NSI6,1,BRWD1,Bromodomain and WD repeat-containing protein 1 (WD repeat-containing protein 9),2320,other,False
P00371,1,DAO,D-amino-acid oxidase (DAAO) (DAMOX) (DAO) (EC 1.4.3.3),347,other,False
P02776,1,PF4,"Platelet factor 4 (PF-4) (C-X-C motif chemokine 4) (Iroplact) (Oncostatin-A) [Cleaved into: Platelet factor 4, short form (Endothelial cell growth inhibitor)]",101,other,False
Q9UBM7,1,DHCR7,"7-dehydrocholesterol reductase (7-DHC reductase) (EC 1.3.1.21) (Cholesterol-5,6-epoxide hydrolase subunit DHCR7) (EC 3.3.2.11) (Delta7-sterol reductase) (Sterol Delta(7)-reductase) (Sterol reductase SR-2)",475,other,False
P00378,1,DHFR,Dihydrofolate reductase (EC 1.5.1.3),189,other,False
Q9RUB5,1,dxs,1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS),629,other,False
Q9R0C9,1,Sigmar1,Sigma non-opioid intracellular receptor 1 (Sigma 1-type opioid receptor) (Sigma1-receptor) (Sigma1R),223,other,False
P79350,1,OPRM1,Mu-type opioid receptor (M-OR-1) (MOR-1),401,gpcr,False
Q9QYJ6,1,Pde10a,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A (EC 3.1.4.17)",794,other,False
P9WIL5,1,panC,Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme),309,other,False
P00742,1,F10,Coagulation factor X (EC 3.4.21.6) (Stuart factor) (Stuart-Prower factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain],488,protease,False
O94925,1,GLS,"Glutaminase kidney isoform, mitochondrial (GLS) (EC 3.5.1.2) (K-glutaminase) (L-glutamine amidohydrolase) [Cleaved into: Glutaminase kidney isoform, mitochondrial 68 kDa chain; Glutaminase kidney isoform, mitochondrial 65 kDa chain]",669,other,False
P51682,1,Ccr5,C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (MIP-1 alpha receptor) (CD antigen CD195),354,gpcr,False
Q9NPD8,1,UBE2T,Ubiquitin-conjugating enzyme E2 T (EC 2.3.2.23) (Cell proliferation-inducing gene 50 protein) (E2 ubiquitin-conjugating enzyme T) (Ubiquitin carrier protein T) (Ubiquitin-protein ligase T),197,other,False
O88554,1,Parp2,Poly [ADP-ribose] polymerase 2 (PARP-2) (mPARP-2) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 2) (ARTD2) (DNA ADP-ribosyltransferase PARP2) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 2) (ADPRT-2) (Poly[ADP-ribose] synthase 2) (pADPRT-2) (Protein poly-ADP-ribosyltransferase PARP2) (EC 2.4.2.-),559,other,False
Q9WV60,1,Gsk3b,Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1),420,kinase,False
Q9WV26,1,AGTR1,Type-1 angiotensin II receptor (Angiotensin II type-1 receptor) (AT1 receptor),359,gpcr,False
O43187,1,IRAK2,Interleukin-1 receptor-associated kinase-like 2 (IRAK-2),625,kinase,False
Q9H665,1,IGFLR1,IGF-like family receptor 1 (Transmembrane protein 149) (U2 small nuclear RNA auxiliary factor 1-like 4),355,other,False
O43683,1,BUB1,Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A),1085,kinase,False
P51141,1,Dvl1,Segment polarity protein dishevelled homolog DVL-1 (Dishevelled-1) (DSH homolog 1),695,other,False
Q9H9B1,1,EHMT1,Histone-lysine N-methyltransferase EHMT1 (EC 2.1.1.-) (EC 2.1.1.367) (Euchromatic histone-lysine N-methyltransferase 1) (Eu-HMTase1) (G9a-like protein 1) (GLP) (GLP1) (Histone H3-K9 methyltransferase 5) (H3-K9-HMTase 5) (Lysine N-methyltransferase 1D),1298,other,False
P49286,1,MTNR1B,Melatonin receptor type 1B (Mel-1B-R) (Mel1b receptor),362,gpcr,False
Q9UPN9,1,TRIM33,E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RET-fused gene 7 protein) (Protein Rfg7) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33),1127,other,False
P02554,1,,Tubulin beta chain (Beta-tubulin),445,other,False
Q9HC97,1,GPR35,G-protein coupled receptor 35 (Kynurenic acid receptor) (KYNA receptor),309,gpcr,False
P01374,1,LTA,Lymphotoxin-alpha (LT-alpha) (TNF-beta) (Tumor necrosis factor ligand superfamily member 1),205,other,False
O70528,1,HTR4,5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4),388,gpcr,False
P53634,1,CTSC,Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain (Dipeptidyl peptidase I heavy chain); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)],463,protease,False
O75874,1,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase),414,other,False
